Gidx,Lat,Lon,CrtTime
2,35.1176706666667,129.090626833333,2021-08-02 17:17:33.000
3,35.1177625,129.090870333333,2021-08-02 17:22:13.000
4,35.1178173333333,129.090702666667,2021-08-02 17:22:44.000
5,35.1178098333333,129.090614166667,2021-08-02 17:23:12.000
6,35.117773,129.090503666667,2021-08-02 17:23:37.000
7,35.117757,129.090539833333,2021-08-02 17:24:02.000
8,35.117686,129.090633,2021-08-02 17:24:27.000
9,35.1176915,129.090674,2021-08-02 17:24:52.000
10,35.1177136666667,129.0906755,2021-08-02 17:33:12.000
11,35.1176991666667,129.090610166667,2021-08-02 17:33:23.000
12,35.1176908333333,129.090579,2021-08-02 17:33:35.000
13,35.117689,129.090576166667,2021-08-02 17:33:45.000
14,35.1177156666667,129.090636166667,2021-08-02 17:33:55.000
15,35.1177023333333,129.090629,2021-08-02 17:34:05.000
